Unit_Group_Key,Unit_Group,Description,Skill_Levels,Unit_Group_Date
738a6457be8432bab553e21b4235dd97,7121,"Crane, Hoist and Lift Operators","4 Aus,3 NZ",2024-07-09
df334b223e699294764c2bb7ae40d8db,7122,"Drillers, Miners and Shot Firers",4,2024-07-09
e3a54649aeec04cf1c13907bc6c5c8aa,7123,Engineering Production Workers,4,2024-07-09
bcc2bdb799f873f02080ae277f291da1,7129,Other Stationary Plant Operators,"3,4",2024-07-09
f10f2da9a238b746d2bac55759915f0d,7211,"Agricultural, Forestry and Horticultural Plant Operators","3,4",2024-07-09
e14e58299bc41e7fb10c701130c5cb27,7212,Earthmoving Plant Operators,4,2024-07-09
6213a8959a9a96589ca484dfd1e25053,7213,Forklift Drivers,4,2024-07-09
9c415bdd4dd66723ef7b38853ef35ddb,7219,Other Mobile Plant Operators,"3,4",2024-07-09
c7b03782920d35145eb4c97556d194a3,7311,Automobile Drivers,4,2024-07-09
fc2022c89b61c76bbef978f1370660bf,7312,Bus and Coach Drivers,4,2024-07-09
3a0f19df72fef0495c54ced664735a7d,7313,Train and Tram Drivers,"3,4",2024-07-09
c2c701fe341a7756ca7fd4eaa83ff63f,7321,Delivery Drivers,4,2024-07-09
ac64504cc249b070772848642cffe6ff,7331,Truck Drivers,4,2024-07-09
8be6adae5ae0e157014d7d250870f212,7411,Storepersons,4,2024-07-09
30410be149e6771f60881182342452d5,8111,Car Detailers,5,2024-07-09
45d6637b718d0f24a237069fe41b0db4,8112,Commercial Cleaners,"5 Aus,4 NZ",2024-07-09
b6417f112bd27848533e54885b66c288,8113,Domestic Cleaners,5,2024-07-09
b20fa060328b0cdf51b464ee37efe182,8114,Housekeepers,5,2024-07-09
68dd09b9ff11f0df5624a690fe0f6729,8115,Laundry Workers,5,2024-07-09
8f6242793017047d373f29f270388ba9,8116,Other Cleaners,"4,5",2024-07-09
a8d2795765fb6a8659fd48d8ca7eb888,8211,Building and Plumbing Labourers,5,2024-07-09
9f655cc8884fda7ad6d8a6fb15cc001e,8212,Concreters,5,2024-07-09
0b3f44d9054402de39441e165a4bdfe0,8213,Fencers,4,2024-07-09
8b048efecbe64fe76045e0109de0c2f1,8214,Insulation and Home Improvement Installers,4,2024-07-09
1e0feeaff84a19bf3936e693311fa66d,8215,Paving and Surfacing Labourers,"5 Aus,4 NZ",2024-07-09
47f91db40efc6a22350eca5c953c4742,8216,Railway Track Workers,4,2024-07-09
e1d4b23fb807f2a1de063bfb84a468d4,8217,Structural Steel Construction Workers,"3,4",2024-07-09
9d00670c8e26b15fdd085a04a256683c,8219,Other Construction and Mining Labourers,"4,5",2024-07-09
1f5f6ad95cc908a20bb7e30ee28a5958,8311,Food and Drink Factory Workers,"4,5",2024-07-09
e046ede63264b10130007afca077877f,8312,"Meat Boners and Slicers, and Slaughterers",4,2024-07-09
bf2fe6582ed9ead9161a3d6f6b1d6858,8313,"Meat, Poultry and Seafood Process Workers",5,2024-07-09
d428d070622e0f4363fceae11f4a3576,8321,Packers,5,2024-07-09
71969a804c28c0961383008958497b1b,8322,Product Assemblers,5,2024-07-09
77b830096c1888016b4d7a730bbe9731,8391,Metal Engineering Process Workers,5,2024-07-09
1d01bd2e16f57892f0954902899f0692,8392,Plastics and Rubber Factory Workers,"5 Aus,4 NZ",2024-07-09
6e2290dbf1e11f39d246e7ce5ac50a1e,8393,Product Quality Controllers,4,2024-07-09
664c7298d2b73b3c7fe2d1e8d1781c06,8394,Timber and Wood Process Workers,"5 Aus,4 NZ",2024-07-09
56d33021e640f5d64a611a71b5dc30a3,8399,Other Factory Process Workers,"5 Aus,4 NZ",2024-07-09
a3de03cb426b5e36f5c7167b21395323,8411,Aquaculture Workers,5,2024-07-09
831b342d8a83408e5960e9b0c5f31f0c,8412,Crop Farm Workers,5,2024-07-09
6b27e88fdd7269394bca4968b48d8df4,8413,Forestry and Logging Workers,4,2024-07-09
682e0e796084e163c5ca053dd8573b0c,8414,Garden and Nursery Labourers,5,2024-07-09
9739efc4f01292e764c86caa59af353e,8415,Livestock Farm Workers,5,2024-07-09
b93e78c67fd4ae3ee626d8ec0c412dec,8416,Mixed Crop and Livestock Farm Workers,5,2024-07-09
3016a447172f3045b65f5fc83e04b554,8419,"Other Farm, Forestry and Garden Workers","4,5",2024-07-09
3b777b775721dfa8d36de2a320a03e53,8511,Fast Food Cooks,5,2024-07-09
e092aed5316b555a770029849e06a7de,8512,Food Trades Assistants,5,2024-07-09
a883bbca3f8bc8814ff676cb0e91829a,8513,Kitchenhands,5,2024-07-09
fed537780f3f29cc5d5f313bbda423c4,8911,Freight and Furniture Handlers,5,2024-07-09
fe27f92b1e3f4997567807f38d567a35,8912,Shelf Fillers,5,2024-07-09
2aac0e27587428fe2aafe882c5974a85,8991,Caretakers,5,2024-07-09
4aee31b0ec9f7bb7885473d95961e9a6,8992,Deck and Fishing Hands,4,2024-07-09
47841cc9e552bd5c40164db7073b817b,8993,Handypersons,5,2024-07-09
47ce0875420b2dbacfc5535f94e68433,8994,Motor Vehicle Parts and Accessories Fitters,4,2024-07-09
d469547325a320e660ba7f4bf05c7ecf,8995,Printing Assistants and Table Workers,4,2024-07-09
2e0d41e02c5be4668ec1b0730b3346a8,8996,Recycling and Rubbish Collectors,5,2024-07-09
15bb03d440d3530fa52c7c58970274e4,8997,Vending Machine Attendants,5,2024-07-09
96ba4a06bae961abbfb783d9d715150c,8999,Other Miscellaneous Labourers,5,2024-07-09
