FOR_Groups_Key,FOR_Group,FOR_Field,FOR_Groups_Time
89d4402dc03d3b7318bbac10203034ab,3214,Pharmacology and pharmaceutical sciences,2024-07-11
e2eacaff46787bfeefcaa24cf35264c7,3215,Reproductive medicine,2024-07-11
7371364b3d72ac9a3ed8638e6f0be2c9,3299,Other biomedical and clinical sciences,2024-07-11
8217bb4e7fa0541e0f5e04fea764ab91,3301,Architecture,2024-07-11
6fab6e3aa34248ec1e34a4aeedecddc8,3302,Building,2024-07-11
f24ad6f72d6cc4cb51464f2b29ab69d3,3303,Design,2024-07-11
0e9d935f7e3f2b502450c049ddbc7c92,3304,Urban and regional planning,2024-07-11
57f04bb2975420e3b4c73920c687cad7,3399,Other built environment and design,2024-07-11
7fcc48d22804dbbe9b66b607d51389d4,3401,Analytical chemistry,2024-07-11
91d0dbfd38d950cb716c4dd26c5da08a,3402,Inorganic chemistry,2024-07-11
898dd88cca7b2f65461bc491dacb9b25,3403,Macromolecular and materials chemistry,2024-07-11
c6b8c8d762da15fa8dbbdfb6baf9e260,3404,Medicinal and biomolecular chemistry,2024-07-11
be1bc7997695495f756312886f566110,3405,Organic chemistry,2024-07-11
32fdab6559cdfa4f167f8c31b9199643,3406,Physical chemistry,2024-07-11
dab49080d80c724aad5ebf158d63df41,3407,Theoretical and computational chemistry,2024-07-11
3ea2db50e62ceefceaf70a9d9a56a6f4,3499,Other chemical sciences,2024-07-11
d494020ff8ec181ef98ed97ac3f25453,3501,"Accounting, auditing and accountability",2024-07-11
d2350a54d774001d6078e326b4488878,3502,"Banking, finance and investment",2024-07-11
87f7ee4fdb57bdfd52179947211b7ebb,3503,Business systems in context,2024-07-11
73231e53eeef362c814c8522f5257286,3504,Commercial services,2024-07-11
2a3d6d6cc4b5e77238c1fc1bb6cdd681,3505,Human resources and industrial relations,2024-07-11
e0126439e08ddfbdf4faa952dc910590,3506,Marketing,2024-07-11
0e7c7d6c41c76b9ee6445ae01cc0181d,3507,"Strategy, management and organisational behaviour",2024-07-11
7d2be41b1bde6ff8fe45150c37488ebb,3508,Tourism,2024-07-11
0141a8aedb1b53970fac7c81dac79fbe,3509,"Transportation, logistics and supply chains",2024-07-11
e7e69cdf28f8ce6b69b4e1853ee21bab,3599,"Other commerce, management, tourism and services",2024-07-11
62e7f2e090fe150ef8deb4466fdc81b3,3601,"Art history, theory and criticism",2024-07-11
228b25587479f2fc7570428e8bcbabdc,3602,Creative and professional writing,2024-07-11
6a8018b3a00b69c008601b8becae392b,3603,Music,2024-07-11
c254e7753095807e1cca159e48eceb21,3604,Performing arts,2024-07-11
a05d886123a54de3ca4b0985b718fb9b,3605,Screen and digital media,2024-07-11
774b0e07753b0b94d1a1c5b0543b5fe1,3606,Visual arts,2024-07-11
a18630ab1c3b9f14454cf70dc7114834,3699,Other creative arts and writing,2024-07-11
b181eaa49f5924e16c772dcb718fcd0f,3701,Atmospheric sciences,2024-07-11
a928731e103dfc64c0027fa84709689e,3702,Climate change science,2024-07-11
7d2a383e54274888b4b73b97e1aaa491,3703,Geochemistry,2024-07-11
9308b0d6e5898366a4a986bc33f3d3e7,3704,Geoinformatics,2024-07-11
2cfa3753d6a524711acb5fce38eeca1a,3705,Geology,2024-07-11
4764f37856fc727f70b666b8d0c4ab7a,3706,Geophysics,2024-07-11
2ad9e5e943e43cad612a7996c12a8796,3707,Hydrology,2024-07-11
34ffeb359a192eb8174b6854643cc046,3708,Oceanography,2024-07-11
56db57b4db0a6fcb7f9e0c0b504f6472,3709,Physical geography and environmental geoscience,2024-07-11
58521e4e2bd3d4b988cbd17d7365df3c,3799,Other earth sciences,2024-07-11
95323660ed2124450caaac2c46b5ed90,3801,Applied economics,2024-07-11
d3614f463b2d42aba2700556d42740d0,3802,Econometrics,2024-07-11
e97399278d24e6bbf3a2d5e9c8d34262,3803,Economic theory,2024-07-11
fd5ac6ce504b74460b93610f39e481f7,3899,Other economics,2024-07-11
4fc848051e4459b8a6afeb210c3664ec,3901,Curriculum and pedagogy,2024-07-11
1517c8664be296f0d87d9e5fc54fdd60,3902,"Education policy, sociology and philosophy",2024-07-11
9d949c3d8baa0f9df6f22c4661946a61,3903,Education systems,2024-07-11
c09f9caf5e08836d4673ccdd69bb041e,3904,Specialist studies in education,2024-07-11
9cf742e94f29f454ac42ff68f37d5cc4,3999,Other Education,2024-07-11
ffc58105bf6f8a91aba0fa2d99e6f106,4001,Aerospace engineering,2024-07-11
254ed7d2de3b23ab10936522dd547b78,4002,Automotive engineering,2024-07-11
3ce83f544dbe69bb4fb19211fc442c2f,4003,Biomedical engineering,2024-07-11
f8eb278a8bce873ef365b45e939da38a,4004,Chemical engineering,2024-07-11
f23b3df742bb9fbf6bbf30a05150ac19,4005,Civil engineering,2024-07-11
671d8d05d795091118b1344f715307c4,4006,Communications engineering,2024-07-11
ab8df9f7733db5611fd53748f1db282e,4007,"Control engineering, mechatronics and robotics",2024-07-11
21b5680d80f75a616096f2e791affac6,4008,Electrical engineering,2024-07-11
cb5f984421c93f1efb42b53a43f83c3a,4009,"Electronics, sensors and digital hardware",2024-07-11
6693a7aacb8a2e74c6f5fe91bc39864b,4010,Engineering practice and education,2024-07-11
b14680dec683e744ada1f2fe08614086,4011,Environmental engineering,2024-07-11
bd3ef5c19067fe179f71c8b86ea4b39b,4012,Fluid mechanics and thermal engineering,2024-07-11
fbfe5ba2ce3309f522c335e949435612,4013,Geomatic engineering,2024-07-11
1cdf14d1e3699d61d237cf76ce1c2dca,4014,Manufacturing engineering,2024-07-11
587524833eaf98eb779a387e33768c6a,4015,Maritime engineering,2024-07-11
f04cd7399b2b0128970efb6d20b5c551,4016,Materials engineering,2024-07-11
621c090c3a61c6809130675a63897a0f,4017,Mechanical engineering,2024-07-11
455cb2657aaa59e32fad80cb0b65b9dc,4018,Nanotechnology,2024-07-11
7fc63ff01769c4fa7d9279e97e307829,4019,Resources engineering and extractive metallurgy,2024-07-11
68897f19b106926ed889fe3f7e3d01c9,4099,Other engineering,2024-07-11
6abcc8f24321d1eb8c95855eab78ee95,4101,Climate change impacts and adaptation,2024-07-11
9ca8c9b0996bbf05ae7753d34667a6fd,4102,Ecological applications,2024-07-11
5e02b868a91671f9140a41f3946f33cb,4103,Environmental biotechnology,2024-07-11
e910a63844df7022c9b194d39b2686bf,4104,Environmental management,2024-07-11
77143919d1234297079f075357988f3b,4105,Pollution and contamination,2024-07-11
4ca9764c98c203d7bc747cbce9d9174f,4106,Soil sciences,2024-07-11
e0c7ccc47b2613c82d1073a4214deecc,4199,Other environmental sciences,2024-07-11
0530e22dea41e24a039563139cdc215e,4201,Allied health and rehabilitation science,2024-07-11
7d265aa7147bd3913fb84c7963a209d1,4202,Epidemiology,2024-07-11
7e05295a468401ec66e8c337855022ed,4203,Health services and systems,2024-07-11
3335881e06d4d23091389226225e17c7,4204,Midwifery,2024-07-11
22785dd2577be2ce28ef79febe80db10,4205,Nursing,2024-07-11
769ac34a4012ab69c069de0bab7d9e81,4206,Public health,2024-07-11
d7b76edf790923bf7177f7ebba5978df,4207,Sports science and exercise,2024-07-11
4a71e49f6bda0c9b7642f39f1aa1f567,4208,"Traditional, complementary and integrative medicine",2024-07-11
cabad3b9bc0afe08cd9ec861638ed1d9,4299,Other health sciences,2024-07-11
147540e129e096fa91700e9db6588354,4301,Archaeology,2024-07-11
b90ba83119860d7f6a6dfaab9f2aa150,4302,"Heritage, archive and museum studies",2024-07-11
b052e2e0c0ad1b2d5036bd56e27d061c,4303,Historical studies,2024-07-11
bdbca288fee7f92f2bfa9f7012727740,4399,"Other history, heritage and archaeology",2024-07-11
2120606d6a751a93e392b46d945bba9d,4401,Anthropology,2024-07-11
19485224d128528da1602ca47383f078,4402,Criminology,2024-07-11
702cafa3bb4c9c86e4a3b6834b45aedd,4403,Demography,2024-07-11
3d8e03e8b133b16f13a586f0c01b6866,4404,Development studies,2024-07-11
bd470ca955d9497bbcb808e59952fffc,4405,Gender studies,2024-07-11
ae87a54e183c075c494c4d397d126a66,4406,Human geography,2024-07-11
0307fec2cef6aec340b8426490977ef0,4407,Policy and administration,2024-07-11
c793b3be8f18731f2a4c627fb3c6c63d,4408,Political science,2024-07-11
d1f44e2f09dc172978a4d3151d11d63e,4409,Social work,2024-07-11
ea96efc03b9a050d895110db8c4af057,4410,Sociology,2024-07-11
5e51eeda0422de44a7cc260b4239d4f9,4499,Other human society,2024-07-11
1a15d41947a732c97943fa5624f570d7,4501,"Aboriginal and Torres Strait Islander culture, language and history",2024-07-11
767b2cc82cecc0385fe6f1086dd2c748,4502,Aboriginal and Torres Strait Islander education,2024-07-11
09a69de15cf89bc7fe8c0642f906a4dd,4503,Aboriginal and Torres Strait Islander environmental knowledges and management,2024-07-11
124461dcd3571e6674ec4e0e140cc298,4504,Aboriginal and Torres Strait Islander health and wellbeing,2024-07-11
149ef6419512be56a93169cd5e6fa8fd,4505,"Aboriginal and Torres Strait Islander peoples, society and community",2024-07-11
075b24b68eb3cb44b3fa4e331d86db89,4506,Aboriginal and Torres Strait Islander sciences,2024-07-11
7d411dca7348327b71e894c52e76eeeb,4507,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",2024-07-11
2ff385c6e75c56b7a5a93d9fcd0c82ee,4508,Mātauranga Māori (Māori education),2024-07-11
f8ea2e8463760785106490befc78c339,4509,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),2024-07-11
989652eef28bc49eec908063ba36a854,4510,Te hauora me te oranga o te Māori (Māori health and wellbeing),2024-07-11
475fbefa9ebfba9233364533aafd02a3,4511,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",2024-07-11
63c4b1baf3b4460fa9936b1a20919bec,4512,Ngā pūtaiao Māori (Māori sciences),2024-07-11
21c52f533c0c585bab4f075bf08d7104,4513,"Pacific Peoples culture, language and history",2024-07-11
e2f374c3418c50bc30d67d5f7454a5b4,4514,Pacific Peoples education,2024-07-11
bf56a1b37b94243486b2034f8479c475,4515,Pacific Peoples environmental knowledges,2024-07-11
573f7f25b7b1eb79a4ec6ba896debefd,4516,Pacific Peoples health and wellbeing,2024-07-11
7109af321d970c64a0154000a60e65c8,4517,Pacific Peoples sciences,2024-07-11
597c7b407a02cc0a92167e7a371eca25,4518,Pacific Peoples society and community,2024-07-11
bbc92a647199b832ec90d7cf57074e9e,4519,"Other Indigenous data, methodologies and global Indigenous studies",2024-07-11
f0f800c92d191d736c4411f3b3f8ef4a,4599,Other Indigenous studies,2024-07-11
6d0c932802f6953f70eb20931645fa40,4601,Applied computing,2024-07-11
fd00d3474e495e7b6d5f9f575b2d7ec4,4602,Artificial intelligence,2024-07-11
be7485be5b6eb3690efcbc9e95e8f15a,4603,Computer vision and multimedia computation,2024-07-11
d630553e32ae21fb1a6df39c702d2c5c,4604,Cybersecurity and privacy,2024-07-11
971eb27c6345932b82b70414028d7183,4605,Data management and data science,2024-07-11
c850c535b6b72487b20cee5d7434506d,4606,Distributed computing and systems software,2024-07-11
f2708856060b3b50379aeb13c54a563e,4607,"Graphics, augmented reality and games",2024-07-11
3cfacd1beeeb00db3c2afc128dc13b7c,4608,Human-centred computing,2024-07-11
e661551c8ec9308379cda7e2419348e5,4609,Information systems,2024-07-11
700a4d3e9b7edabf9e4b69008b0718d6,4610,Library and information studies,2024-07-11
14f2ebeab937ca128186e7ba876faef9,4611,Machine learning,2024-07-11
000871c1fc726f0b52dc86a4eeb027de,4612,Software engineering,2024-07-11
eeaebbffb5d29ff62799637fc51adb7b,4613,Theory of computation,2024-07-11
4772c1b987f1f6d8c9d4ef0f3b764f7a,4699,Other information and computing sciences,2024-07-11
a9ad5f2808f68eea468621a04c49efe1,4701,Communication and media studies,2024-07-11
84fdbc3ac902561c00871c9b0c226756,4702,Cultural studies,2024-07-11
ac4395adcb3da3b2af3d3972d7a10221,4703,Language studies,2024-07-11
ecb47fbb07a752413640f82a945530f8,4704,Linguistics,2024-07-11
d33174c464c877fb03e77efdab4ae804,4705,Literary studies,2024-07-11
fecc3a370a23d13b1cf91ac3c1e1ca92,4799,"Other language, communication and culture",2024-07-11
0c7119e3a6a2209da6a5b90e5b5b75bd,4801,Commercial law,2024-07-11
137bdd55f159c4f5556391f53e608f2e,4802,Environmental and resources law,2024-07-11
2912bbeedc16c67bd0529ab7d438c1ac,4803,International and comparative law,2024-07-11
45c68484c6fc509cb25bdfca881e5cd8,4804,Law in context,2024-07-11
a821a161aa4214f5ff5b8ca372960ebb,4805,Legal systems,2024-07-11
1cc8a8ea51cd0adddf5dab504a285915,4806,Private law and civil obligations,2024-07-11
f7dafc45da369f8581fdf3bd599075aa,4807,Public law,2024-07-11
3a4496776767aaa99f9804d0905fe584,4899,Other law and legal studies,2024-07-11
a08e32d2f9a8b78894d964ec7fd4172e,4901,Applied mathematics,2024-07-11
e7a425c6ece20cbc9056f98699b53c6f,4902,Mathematical physics,2024-07-11
769c3bce651ce5feaa01ce3b75986420,4903,Numerical and computational mathematics,2024-07-11
d5036c64412973d610202be8dce2b82a,4904,Pure mathematics,2024-07-11
522e1ea43810e90242942ccc0995dae1,4905,Statistics,2024-07-11
54fe976ba170c19ebae453679b362263,4999,Other mathematical sciences,2024-07-11
03b264c595403666634ac75d828439bc,5001,Applied ethics,2024-07-11
415585bd389b69659223807d77a96791,5002,History and philosophy of specific fields,2024-07-11
240ac9371ec2671ae99847c3ae2e6384,5003,Philosophy,2024-07-11
3202111cf90e7c816a472aaceb72b0df,5004,Religious studies,2024-07-11
1d6408264d31d453d556c60fe7d0459e,5005,Theology,2024-07-11
6e66329891cbb9adb1966e44379cfadf,5099,Other philosophy and religious studies,2024-07-11
48f7d3043bc03e6c48a6f0ebc0f258a8,5101,Astronomical sciences,2024-07-11
2c26f9a59b0ba61233e6fc0af8e47f14,5102,"Atomic, molecular and optical physics",2024-07-11
03a3655fff3e9bdea48de9f49e938e32,5103,Classical physics,2024-07-11
6a6610feab86a1f294dbbf5855c74af9,5104,Condensed matter physics,2024-07-11
91a4d5c9c78d0de89b38ff408f49f39c,5105,Medical and biological physics,2024-07-11
173f0f6bb0ee97cf5098f73ee94029d4,5106,Nuclear and plasma physics,2024-07-11
9f93557d309f655ff06f109a08dcf7c4,5107,Particle and high energy physics,2024-07-11
4eff0720836a198b6174eecf02cbfdbf,5108,Quantum physics,2024-07-11
7a0c1035bcb33b6d86942ecbedb37267,5109,Space sciences,2024-07-11
3f1656d9668dffcf8119e3ecff873558,5110,Synchrotrons and accelerators,2024-07-11
fa7518562603d5c4a7ad69e2e5726f5f,5199,Other physical sciences,2024-07-11
f50c7035e532c49a0f6993d988e2e843,5201,Applied and developmental psychology,2024-07-11
4fbe073f17f161810fdf3dab1307b30f,5202,Biological psychology,2024-07-11
94130ea17023c4837f0dcdda95034b65,5203,Clinical and health psychology,2024-07-11
2e6d9c6052e99fcdfa61d9b9da273ca2,5204,Cognitive and computational psychology,2024-07-11
fea16e782bc1b1240e4b3c797012e289,5205,Social and personality psychology,2024-07-11
56a3107cad6611c8337ee36d178ca129,5299,Other psychology,2024-07-11
