FOR_Fields_Key,FOR_Field,FOR_Description,FOR_Fields_Time
21f6bf567036bfe517e11a0f795c67e7,310208,Translational and applied bioinformatics,2024-07-10
833474dd0cf05af46ec37121a1b1aeb3,310299,Bioinformatics and computational biology not elsewhere classified,2024-07-10
618dc9aa02e6cbbaa674e01421d6b636,310301,Behavioural ecology,2024-07-10
8d5ff8b60f8ad7ec12ccb2d744c4a810,310302,Community ecology (excl. invasive species ecology),2024-07-10
8978bf5a5252b7115865c482a1f39986,310303,Ecological physiology,2024-07-10
0d1e725c8f72e1b07a6d3e55bc232a6b,310304,Freshwater ecology,2024-07-10
197ebca894560654cde4938a283b7c61,310305,Marine and estuarine ecology (incl. marine ichthyology),2024-07-10
689f0cb01e63880d379e05ea3136fb4a,310306,Palaeoecology,2024-07-10
c2c05b94a6d6e2e8aa7cba9a5766a04e,310307,Population ecology,2024-07-10
4642e80caa2b505f8c42b64aa95eaba0,310308,Terrestrial ecology,2024-07-10
d90b4ddbefdd24e79e9400b5b2cf152c,310399,Ecology not elsewhere classified,2024-07-10
7cb5a0b09f0928454ed288929680b8d4,310401,Animal systematics and taxonomy,2024-07-10
3e9664f6d72814973770b856d522dd51,310402,Biogeography and phylogeography,2024-07-10
75a291fa5c5d626b6b5006738ae8b40b,310403,Biological adaptation,2024-07-10
6dc0373873c2b0b231c6e5c85bb4bc42,310404,Evolution of developmental systems,2024-07-10
7b4d74338dede0b10b7406582051b385,310405,Evolutionary ecology,2024-07-10
686325eaeb938ca312508d2f9dbb0cbc,310406,Evolutionary impacts of climate change,2024-07-10
1ce9486f8147ea82789ef8a6efe08e84,310407,Host-parasite interactions,2024-07-10
2a1468d6426773fb6fea1e48b7e99981,310408,Life histories,2024-07-10
5d452f2c6d9cbcada80dc423d69c33ff,310409,Microbial taxonomy,2024-07-10
a9a1ed71beb57db9b801601936e4d96d,310410,Phylogeny and comparative analysis,2024-07-10
9bbd4ed13088cbca319b4299f841afea,310411,Plant and fungus systematics and taxonomy,2024-07-10
f5639b9dfae2c72605e03d0e80c6d7d9,310412,Speciation and extinction,2024-07-10
0595783d5f0355df9399dbdc1b7f6e0a,310499,Evolutionary biology not elsewhere classified,2024-07-10
ad3d9ddc79bdc6502d01eae58e994259,310501,Anthropological genetics,2024-07-10
7f8e5dfb346f1a18b3c9ec779c6fb7bb,310502,Cell and nuclear division,2024-07-10
81722bdbf1b708f757a9a9b6421b87d8,310503,Developmental genetics (incl. sex determination),2024-07-10
8199c07da4a53223f42a7d1d2bd20483,310504,Epigenetics (incl. genome methylation and epigenomics),2024-07-10
29cea0002e595cfeefb45a5312c6dcda,310505,Gene expression (incl. microarray and other genome-wide approaches),2024-07-10
3bdc718283143fd3b33983b392704a07,310506,Gene mapping,2024-07-10
5a795adf67995777384a141505500eb0,310507,Genetic immunology,2024-07-10
06eb492419ebdc8ad0cec7ec9f7bf8c8,310508,Genome structure and regulation,2024-07-10
bcae90dea8f9d37aeda57384a8fdfc76,310509,Genomics,2024-07-10
e85d07a43ff8b3d0f5e93ccdeb8d87c6,310510,Molecular evolution,2024-07-10
2b8e63b75e1c01311ee625c0d618863c,310511,Neurogenetics,2024-07-10
00f02dd52f301a6d492ebc0c9bd30896,310599,Genetics not elsewhere classified,2024-07-10
e49bcfc60cfc2c4f3ef522bd4761bce5,310601,Biocatalysis and enzyme technology,2024-07-10
8a2e14258355535593b888f82a1b9a08,310602,"Bioprocessing, bioproduction and bioproducts",2024-07-10
412091ebe9f495fb9859b8b600e270ce,310603,Fermentation,2024-07-10
fc7bf47d5bba972e78eb9deab432d721,310604,Industrial biotechnology diagnostics (incl. biosensors),2024-07-10
e5f24ee05ff3e224b1487bbdaf704eb2,310605,Industrial microbiology (incl. biofeedstocks),2024-07-10
cadc12a69a9c74e33ffb7e2f05ed9b7c,310606,Industrial molecular engineering of nucleic acids and proteins,2024-07-10
7c3d089ada55e9a466303fc7173bf0be,310607,Nanobiotechnology,2024-07-10
bd317bf0862d5a4cf6165f3daffb164d,310699,Industrial biotechnology not elsewhere classified,2024-07-10
24e39eb878ab86e74879d1e8adf6f0c3,310701,Bacteriology,2024-07-10
01d5763c8e7118e95e99bb123fcb732d,310702,Infectious agents,2024-07-10
45e1aef415bfc29c4fa73135e0d81e80,310703,Microbial ecology,2024-07-10
10f3c3287e76aa9b45145f7368f551e5,310704,Microbial genetics,2024-07-10
2e4143750148725e52fb62c5e77a224c,310705,Mycology,2024-07-10
4b650541f606f2d8ba97c3899fddba26,310706,Virology,2024-07-10
8f305dfc11a1ac3caf2f85b06a505b84,310799,Microbiology not elsewhere classified,2024-07-10
a193df56eb6d42b05bfdba808eb2de35,310801,Phycology (incl. marine grasses),2024-07-10
9ee3063bca0c0a2903631b91b3533207,310802,Plant biochemistry,2024-07-10
6e6787399e0746abb4cd9721a2d601a2,310803,Plant cell and molecular biology,2024-07-10
03b1d3a228380dd39d4c1443ca6b7749,310804,Plant developmental and reproductive biology,2024-07-10
d22cc17247de64e91424b42176d01181,310805,Plant pathology,2024-07-10
9266faf369a4aecad9c2c63d275fac80,310806,Plant physiology,2024-07-10
3365bce64cee1d7457679791fc1227bd,310899,Plant biology not elsewhere classified,2024-07-10
47608052d0acd7701dd757a5fc694f71,310901,Animal behaviour,2024-07-10
c855cc642c0306a285685404fe8607f4,310902,Animal cell and molecular biology,2024-07-10
22748f1a953255d63cb6ab9a98c11d70,310903,Animal developmental and reproductive biology,2024-07-10
3f8db4734fe6a507d1f041fd56bd345f,310904,Animal diet and nutrition,2024-07-10
23d85093ba6611397d9bb769676cae21,310905,Animal immunology,2024-07-10
f154cba37718af16800b53f203582d32,310906,Animal neurobiology,2024-07-10
601570406da93f4a1878f2781d1f41d5,310907,Animal physiological ecology,2024-07-10
170687beaad419634b7b5298c1a6366c,310908,Animal physiology - biophysics,2024-07-10
a7dbc8f147f7a9bfe854613b1637725a,310909,Animal physiology - cell,2024-07-10
0d24b099d1d5cabf4065c6a7329a9d08,310910,Animal physiology - systems,2024-07-10
87fb54d306c0cb8a70fb580f89fc9997,310911,Animal structure and function,2024-07-10
89a5dc30d0bfbba7a40eaf605727a9f6,310912,Comparative physiology,2024-07-10
da1f5beac361b06fcb5c1cc835d97889,310913,Invertebrate biology,2024-07-10
851226a43f96e86ab088bd9e12b25953,310914,Vertebrate biology,2024-07-10
94c717956185ea0c4563618ddcfc5f5c,310999,Zoology not elsewhere classified,2024-07-10
34308e7d5331f84e529cfd51474d469a,319901,Forensic biology,2024-07-10
3680d8ef7e7dd1f4d5ca1a84ce3785a1,319902,Global change biology,2024-07-10
35d80a3ea5dcfc82fd3d1e2c1fe104e2,319999,Other biological sciences not elsewhere classified,2024-07-10
25bdc77cad047a929a76d1d8fb544de4,320101,Cardiology (incl. cardiovascular diseases),2024-07-10
0cf00eeda915a979c5b07f6904942c2a,320102,Haematology,2024-07-10
5d096b839c6cdccb2bea923c7536594d,320103,Respiratory diseases,2024-07-10
63f8b5fbf049513f2069eda41a07b7cb,320199,Cardiovascular medicine and haematology not elsewhere classified,2024-07-10
30bdbf49fb85e3036b38aca375540dc8,320201,Anaesthesiology,2024-07-10
c24d259aaab9d2091e3748e46b655ef1,320202,Clinical chemistry (incl. diagnostics),2024-07-10
3f6ab5dd77f73b11f122ac7c0fe2de76,320203,Clinical microbiology,2024-07-10
a33a11b61fc21d889d21317d3df2da2e,320204,Clinimetrics,2024-07-10
2d24525b297e41ceccc890e5df3bab23,320205,Dermatology,2024-07-10
83ad4097730688f58c68d4a4ab412542,320206,Diagnostic radiography,2024-07-10
383058c90d19b8a47700360ee9739457,320207,Emergency medicine,2024-07-10
bccdcd4cf0543de699c2fc9ee4f4714f,320208,Endocrinology,2024-07-10
eecbd35bad8af8a195f79b94ea589131,320209,Gastroenterology and hepatology,2024-07-10
8d42f28358ce8d13c75981237fa8ffa6,320210,Geriatrics and gerontology,2024-07-10
f93e662405db48c07814e7ffba13ee70,320211,Infectious diseases,2024-07-10
3f9bda291f4539bb4f6e0c0439a0a163,320212,Intensive care,2024-07-10
e09495a77ce86e5258896f82c7b47245,320213,Medical genetics (excl. cancer genetics),2024-07-10
c9b88f5c7955da685b0661594fdf9541,320214,Nephrology and urology,2024-07-10
ae1d341e184a054500574f1caa5586cf,320215,Nuclear medicine,2024-07-10
43c6cd47586477ead7d0b190333081a7,320216,Orthopaedics,2024-07-10
4943cf0d3dd09994943fa616435eca93,320217,Otorhinolaryngology,2024-07-10
4907a81259cde6657064db127230c793,320218,Pain,2024-07-10
7f21b6c154299b73da2eff744a2f69c3,320219,Paramedicine,2024-07-10
ea337e8719b8b5db2c8a6c63cf1f16cd,320220,Pathology (excl. oral pathology),2024-07-10
4d6086b3fefcfbb504e5178fd8ce69eb,320221,Psychiatry (incl. psychotherapy),2024-07-10
1be6e41d8c84e4c3f98c202a6cd4c567,320222,Radiology and organ imaging,2024-07-10
e052e74a61a3c59471c99a804be9ceca,320223,Rheumatology and arthritis,2024-07-10
cffcd4497a207ae8cf57a7e034d334ef,320224,Rural clinical health,2024-07-10
21b2802d0a4c2990cabeeb03db7cd80b,320225,Sports medicine,2024-07-10
cee81b193d3bc3cb73655bb6f16fec24,320226,Surgery,2024-07-10
498fe02724e7bc8d6f97be9d03c25305,320227,Venereology,2024-07-10
e83309e6dc84b417741642ae4093b245,320299,Clinical sciences not elsewhere classified,2024-07-10
08ea9173433b44f4d9447f9540e1ec27,320301,Craniofacial biology,2024-07-10
cdd49b7092eca4c44fc68b9b4d1ad79a,320302,Dental materials and equipment,2024-07-10
dc162056003b2b95552ace8fedc9cc2c,320303,"Dental therapeutics, pharmacology and toxicology",2024-07-10
3356e4704f1c2da3270d82f758c595cb,320304,Endodontics,2024-07-10
60020f3462391848ff993fe2ac1c4fc6,320305,Oral and maxillofacial surgery,2024-07-10
b6818c14cc44f0bb40c3a4fd243cce5b,320306,Oral implantology,2024-07-10
ef8baf16a8b073a15e633d8d239ac2f8,320307,Oral medicine and pathology,2024-07-10
bf73ec6f27ab07c803b97f1ccf62b4ed,320308,Orthodontics and dentofacial orthopaedics,2024-07-10
c618a44d3fa6d6534ad8eb5e516d66f6,320309,Paedodontics,2024-07-10
7acc933ba8c78c299f83f9ad90a36fbd,320310,Periodontics,2024-07-10
e43d6df9bccdf107c239bd5f99577bd2,320311,Prosthodontics,2024-07-10
c63de35d0a9c38adc41173ee64f8ed68,320312,Special needs dentistry,2024-07-10
5d23b90d5014c32009a839d0d2261f81,320399,Dentistry not elsewhere classified,2024-07-10
e5ce135e0d39b7ef3062cbb25dfc8d5e,320401,Allergy,2024-07-10
524be74b52563cfe637090c16df05774,320402,"Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)",2024-07-10
3a7addb54d44765e5f2482de15d8f9ab,320403,Autoimmunity,2024-07-10
ed22fdb68cbd6643dd34d4d4d4b89b27,320404,Cellular immunology,2024-07-10
7b6e1418d12f43ee2bd72a987ede9682,320405,Humoural immunology and immunochemistry,2024-07-10
9ec533d9d4097680d031ee23d0c2c8fa,320406,Immunogenetics (incl. genetic immunology),2024-07-10
c303c54edfe1e301bb75d886c23b3fae,320407,Innate immunity,2024-07-10
dbdb403a04ebca8a913bf52d9939283d,320408,Transplantation immunology,2024-07-10
16ed99e9a3f81b78a40e155f2e58e51e,320409,Tumour immunology,2024-07-10
0907c45d91dabbb693a2cde32cf017c7,320499,Immunology not elsewhere classified,2024-07-10
e36062571db5523ef17e546b7dd14e9d,320501,Medical biochemistry - amino acids and metabolites,2024-07-10
fd06934e25ad2158c999df44b5d0ed79,320502,Medical biochemistry - carbohydrates,2024-07-10
a6e4cc089a9aa2465d9516c92dd32e0a,320503,Medical biochemistry - inorganic elements and compounds,2024-07-10
c712dc33926c39752963ec464726518a,320504,Medical biochemistry - lipids,2024-07-10
16c69cc76b9a663ba855825e093080c9,320505,Medical biochemistry - nucleic acids,2024-07-10
0f1523c389f8060b9ad0fb6c2d982c9a,320506,Medical biochemistry - proteins and peptides (incl. medical proteomics),2024-07-10
cbedda7d0d0a71f350f13cc623fbcbf0,320507,Metabolic medicine,2024-07-10
f0e77ebde3477b6aecdceff4579e889b,320599,Medical biochemistry and metabolomics not elsewhere classified,2024-07-10
9999fb787fdd88736dc845326991ae0a,320601,Gene and molecular therapy,2024-07-10
7ecb702643a579f976b2f9fff8db6503,320602,Medical biotechnology diagnostics (incl. biosensors),2024-07-10
4766dea5f21a6904bb87cd84c81c2d2d,320603,Medical molecular engineering of nucleic acids and proteins,2024-07-10
46e81abc63a38c55871bf71abf381af9,320604,Nanomedicine,2024-07-10
e2bd6f9a53c785e400b166ac9ac0239e,320605,"Nanotoxicology, health and safety",2024-07-10
d21229c187eafef9dd283ebaa56660e1,320606,Regenerative medicine (incl. stem cells),2024-07-10
3d1ed26ae27b4384b46239a5a6b303b8,320699,Medical biotechnology not elsewhere classified,2024-07-10
a8c04add9dedf192fb9141bd41d4c85d,320701,Medical bacteriology,2024-07-10
b4de02e926a96b64e43a0b491457cf70,320702,Medical infection agents (incl. prions),2024-07-10
64a86fd9b1d441faeed682fef36b4a3e,320703,Medical mycology,2024-07-10
2b4067dab4e9f5c10a7427a74487a466,320704,Medical parasitology,2024-07-10
e01cc3bf1746feb19a5f4066f7d0a298,320705,Medical virology,2024-07-10
15abf33381dd8ee8065c44285d018755,320799,Medical microbiology not elsewhere classified,2024-07-10
ddfe09dc06ababd182063f1e57252551,320801,Cell physiology,2024-07-10
2124ce0f009461d4374c7f5bdcb4e3e1,320802,Human biophysics,2024-07-10
16c9a7664df314b77ac82574327bb77a,320803,Systems physiology,2024-07-10
926a6435c3d686dd06b5e35fb20b17b5,320899,Medical physiology not elsewhere classified,2024-07-10
20ff5b71a39c9d591e04ed17b3b75743,320901,Autonomic nervous system,2024-07-10
f98e70c1ca6da62dbfb17f13cbdefeb1,320902,Cellular nervous system,2024-07-10
5b964ac2f41b67e8c911cdae5248276b,320903,Central nervous system,2024-07-10
283977bacb668c03ae9e6ed17648692d,320904,Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience),2024-07-10
2c01bb330d3c83f2bcad6690b64095d0,320905,Neurology and neuromuscular diseases,2024-07-10
f56151f6aae82363e7faef237d343864,320906,Peripheral nervous system,2024-07-10
fde570f941c9d82c9228bcc1cc571d34,320907,Sensory systems,2024-07-10
d2ecb5f4b2133e27eee5a19c1dd4f262,320999,Neurosciences not elsewhere classified,2024-07-10
03546a723d6acad8ed0b9a06de1ebe86,321001,Clinical nutrition,2024-07-10
7886fbd177aeed054a9a9551b8fc3d74,321002,Food properties (incl. characteristics and health benefits),2024-07-10
c61c2e39cfcb98dafc25423dfef2ec7c,321003,Nutrigenomics and personalised nutrition,2024-07-10
da90b4e8598c074c809a605e7192a7d2,321004,Nutritional science,2024-07-10
f5d3e69b94f2b3048cfc7a860cc4f9f3,321005,Public health nutrition,2024-07-10
ea91fe77f8c2bacc9caedc0ed611e024,321006,Sport and exercise nutrition,2024-07-10
53d2b32098df23baa34317b80beb5e1d,321099,Nutrition and dietetics not elsewhere classified,2024-07-10
bb7d9247b25f434d835cd6c531c00486,321101,Cancer cell biology,2024-07-10
4ef3684635d1a4a06649b274554e552e,321102,Cancer diagnosis,2024-07-10
b8ee7af97ec918e5355be59ceaa54eb2,321103,Cancer genetics,2024-07-10
fe8070a39838c79841473129371a7309,321104,Cancer therapy (excl. chemotherapy and radiation therapy),2024-07-10
f934280ab8341daecbde2507b1104f0b,321105,Chemotherapy,2024-07-10
7ece9ea98d0cb2fc375c64dd3aa3031d,321106,Haematological tumours,2024-07-10
7283ec3b53a576c89ea18c4d58d7e779,321107,Liquid biopsies,2024-07-10
7f7b988b20292904078199629121cb27,321108,Molecular targets,2024-07-10
df766b304c01181f8d3dd6dbc5143011,321109,Predictive and prognostic markers,2024-07-10
2544db87d6a443abf3334d3fac77273a,321110,Radiation therapy,2024-07-10
5156df7c331a3e641e09d9d87939f8ae,321111,Solid tumours,2024-07-10
76c40a95a85251d0d8f1d04811c8df7a,321199,Oncology and carcinogenesis not elsewhere classified,2024-07-10
639904f3e4e3027d2456247b1e9114a4,321201,Ophthalmology,2024-07-10
1aec368b50fcae08e69a9c2b47af3026,321202,Optical technology,2024-07-10
04b22f74b6386742a331c6e1a64fc17c,321203,Optometry,2024-07-10
942fcfe3031ac75ace041dc329c33be6,321204,Vision science,2024-07-10
1f45299579a25d90adcc527d3ac07456,321299,Ophthalmology and optometry not elsewhere classified,2024-07-10
2af6af1215538d9ae5cf762e7784c309,321301,Adolescent health,2024-07-10
136a373ca877b86c2f83965f7106b8c2,321302,Infant and child health,2024-07-10
62601fd2d17146c58d0621b85216dc50,321303,Neonatology,2024-07-10
c16509309535627ff92334af545195a4,321399,Paediatrics not elsewhere classified,2024-07-10
3791d4f4ff95119f8e60f37a1e12584d,321401,Basic pharmacology,2024-07-10
785739f9e2a72def617762aa3bd53192,321402,Clinical pharmacology and therapeutics,2024-07-10
899687072e279c2579e74eeba21a700d,321403,Clinical pharmacy and pharmacy practice,2024-07-10
69f8f93ce313bb7f72263d34688781a8,321404,Pharmaceutical delivery technologies,2024-07-10
1c9feb4dcb1fb6610e60e3e1e926b0f9,321405,Pharmaceutical sciences,2024-07-10
