SEO_Groups_Key,SEO_Group,SEO_Objective,SEO_Groups_Time
5cbdfd0dfa22a3fca7266376887f549b,1501,International trade policy,2024-07-10
77f959f119f4fb2321e9ce801e2f5163,1502,Macroeconomics,2024-07-10
0c8ce55163055c4da50a81e0a273468c,1503,Management and productivity,2024-07-10
49b8b4f95f02e055801da3b4f58e28b7,1504,Measurement standards and calibration services,2024-07-10
0c9ebb2ded806d7ffda75cd0b95eb70c,1505,Microeconomics,2024-07-10
83e8ef518174e1eb6be4a0778d050c9d,1599,Other economic framework,2024-07-10
c559da2ba967eb820766939a658022c8,1601,Learner and learning,2024-07-10
1bc0249a6412ef49b07fe6f62e6dc8de,1602,Schools and learning environments,2024-07-10
f3173935ed8ac4bf073c1bcd63171f8a,1603,Teaching and curriculum,2024-07-10
ef2a4be5473ab0b3cc286e67b1f59f44,1699,Other education and training,2024-07-10
15231a7ce4ba789d13b722cc5c955834,1701,Energy efficiency,2024-07-10
b9f94c77652c9a76fc8a442748cd54bd,1702,Energy exploration,2024-07-10
375c71349b295fbe2dcdca9206f20a06,1703,"Energy storage, distribution and supply",2024-07-10
a588a6199feff5ba48402883d9b72700,1704,Energy transformation,2024-07-10
2a27b8144ac02f67687f76782a3b5d8f,1705,Environmentally sustainable energy activities,2024-07-10
8bb88f80d334b1869781beb89f7b73be,1706,Mining and extraction of energy resources,2024-07-10
02f039058bd48307e6f653a2005c9dd2,1707,Processing of energy sources,2024-07-10
c59b469d724f7919b7d35514184fdc0f,1708,Renewable energy,2024-07-10
0533a888904bd4867929dffd884d60b8,1799,Other energy,2024-07-10
cd14821dab219ea06e2fd1a2df2e3582,1801,"Air quality, atmosphere and weather",2024-07-10
dc40b7120e77741d191c0d2b82cea7be,1802,Coastal and estuarine systems and management,2024-07-10
3fab5890d8113d0b5a4178201dc842ad,1803,"Fresh, ground and surface water systems and management",2024-07-10
90e1357833654983612fb05e3ec9148c,1804,Management of Antarctic and Southern Ocean environments,2024-07-10
7ffd85d93a3e4de5c490d304ccd9f864,1805,Marine systems and management,2024-07-10
d1e946f4e67db4b362ad23818a6fb78a,1806,Terrestrial systems and management,2024-07-10
6be5336db2c119736cf48f475e051bfe,1899,Other environmental management,2024-07-10
d54e99a6c03704e95e6965532dec148b,1901,Adaptation to climate change,2024-07-10
fc4ddc15f9f4b4b06ef7844d6bb53abf,1902,"Environmental policy, legislation and standards",2024-07-10
944626adf9e3b76a3919b50dc0b080a4,1903,Mitigation of climate change,2024-07-10
c91591a8d461c2869b9f535ded3e213e,1904,Natural hazards,2024-07-10
73e0f7487b8e5297182c5a711d20bf26,1905,Understanding climate change,2024-07-10
5ec829debe54b19a5f78d9a65b900a39,1999,"Other environmental policy, climate change and natural hazards",2024-07-10
d0fb963ff976f9c37fc81fe03c21ea7b,2001,Clinical health,2024-07-10
4ba29b9f9e5732ed33761840f4ba6c53,2002,Evaluation of health and support services,2024-07-10
a591024321c5e2bdbd23ed35f0574dde,2003,Provision of health and support services,2024-07-10
b8b4b727d6f5d1b61fff7be687f7970f,2004,Public health (excl. specific population health),2024-07-10
d47268e9db2e9aa3827bba3afb7ff94a,2005,Specific population health (excl. Indigenous health),2024-07-10
978d76676f5e7918f81d28e7d092ca0d,2099,Other health,2024-07-10
c5866e93cab1776890fe343c9e7063fb,2101,Aboriginal and Torres Strait Islander community services,2024-07-10
8232e119d8f59aa83050a741631803a6,2102,Aboriginal and Torres Strait Islander education,2024-07-10
7b1ce3d73b70f1a7246e7b76a35fb552,2103,Aboriginal and Torres Strait Islander health,2024-07-10
e7e23670481ac78b3c4122a99ba60573,2104,Aboriginal and Torres Strait Islander heritage and culture,2024-07-10
24f0d2c90473b2bc949ad962e61d9bcb,2105,Ngā ratonga hapori Māori (Māori community services),2024-07-10
c6335734dbc0b1ded766421cfc611750,2106,Mātauranga Māori (Māori education),2024-07-10
9185f3ec501c674c7c788464a36e7fb3,2107,Te hauora (hauora Māori) (Māori health),2024-07-10
931af583573227f0220bc568c65ce104,2108,Te tuku ihotanga me te ahurea Māori (Māori heritage and culture),2024-07-10
05546b0e38ab9175cd905eebcc6ebb76,2109,Pacific Peoples community services,2024-07-10
c3535febaff29fcb7c0d20cbe94391c7,2110,Pacific Peoples education,2024-07-10
1a0a283bfe7c549dee6c638a05200e32,2111,Pacific Peoples health,2024-07-10
a29d1598024f9e87beab4b98411d48ce,2112,Pacific Peoples heritage and culture,2024-07-10
1145a30ff80745b56fb0cecf65305017,2199,Other Indigenous,2024-07-10
e45823afe1e5120cec11fc4c379a0c67,2201,"Communication technologies, systems and services",2024-07-10
dd28e50635038e9cf3a648c2dd17ad0a,2202,Environmentally sustainable information and communication services,2024-07-10
2d969e2cee8cfa07ce7ca0bb13c7a36d,2203,Information services,2024-07-10
4b4edc2630fe75800ddc29a7b4070add,2204,"Information systems, technologies and services",2024-07-10
06d5ae105ea1bea4d800bc96491876e9,2205,Media services,2024-07-10
40b5f25a228570053bc64a043c3f1833,2299,Other information and communication services,2024-07-10
2b45c629e577731c4df84fc34f936a89,2301,Community services,2024-07-10
ffedf5be3a86e2ee281d54cdc97bc1cf,2302,Government and politics,2024-07-10
d827f12e35eae370ba9c65b7f6026695,2303,International relations,2024-07-10
e6c2dc3dee4a51dcec3a876aa2339a78,2304,Justice and the law,2024-07-10
2d2ca7eedf739ef4c3800713ec482e1a,2305,Work and labour market,2024-07-10
bc7f621451b4f5df308a8e098112185d,2399,"Other law, politics and community services",2024-07-10
959ef477884b6ac2241b19ee4fb776ae,2401,Agricultural chemicals,2024-07-10
4dd9cec1c21bc54eecb53786a2c5fa09,2402,Basic metal products,2024-07-10
bd7db7397f7d83052f829816ecc7f004,2403,"Ceramics, glass and industrial mineral products",2024-07-10
8208974663db80265e9bfe7b222dcb18,2404,"Computer, electronic and communication equipment",2024-07-10
b53477c2821c1bf0da5d40e57b870d35,2405,Dairy products,2024-07-10
de7092ba6df4276921d27a3704c57998,2406,Environmentally sustainable manufacturing activities,2024-07-10
97416ac0f58056947e2eb5d5d253d4f2,2407,Fabricated metal products,2024-07-10
7cac11e2f46ed46c339ec3d569853759,2408,Human pharmaceutical products,2024-07-10
b3f61131b6eceeb2b14835fa648a48ff,2409,Industrial chemicals and related products,2024-07-10
a6ea8471c120fe8cc35a2954c9b9c595,2410,Instrumentation,2024-07-10
ddeebdeefdb7e7e7a697e1c3e3d8ef54,2411,"Leather products, fibre processing and textiles",2024-07-10
186fb23a33995d91ce3c2212189178c8,2412,Machinery and equipment,2024-07-10
72e6d3238361fe70f22fb0ac624a7072,2413,Processed food products and beverages (excl. dairy products),2024-07-10
cb2c2041d9763d84d7d655e81178f444,2414,"Processed non-food agriculture products (excl. wood, paper and fibre)",2024-07-10
e3ca0449fa2ea7701a7ac53fb719c51a,2415,Transport equipment,2024-07-10
5dec707028b05bcbd3a1db5640f842c5,2416,Veterinary pharmaceutical products,2024-07-10
ac1ad983e08ad3304a97e147f522747e,2417,"Wood, wood products and paper",2024-07-10
cd10c7f376188a4a2ca3e8fea2c03aeb,2499,Other manufacturing,2024-07-10
3f998e713a6e02287c374fd26835d87e,2501,Environmentally sustainable mineral resource activities,2024-07-10
696b35cc35e710279b9c2dedc08e22d7,2502,First stage treatment of minerals,2024-07-10
e71e5cd119bbc5797164fb0cd7fd94a4,2503,Mineral exploration,2024-07-10
7884a9652e94555c70f96b6be63be216,2504,Primary mining and extraction of minerals,2024-07-10
50abc3e730e36b387ca8e02c26dc0a22,2599,Other mineral resources (excl. energy resources),2024-07-10
e02e27e04fdff967ba7d76fb24b8069d,2601,Environmentally sustainable plant production,2024-07-10
6403675579f6114559c90de0014cd3d6,2602,Forestry,2024-07-10
92f54963fc39a9d87c2253186808ea61,2603,Grains and seeds,2024-07-10
880610aa9f9de9ea7c545169c716f477,2604,Harvesting and packaging of plant products,2024-07-10
d3fad7d3634dbfb61018813546edbccb,2605,Horticultural crops,2024-07-10
a431d70133ef6cf688bc4f6093922b48,2606,Industrial crops,2024-07-10
0415740eaa4d9decbc8da001d3fd805f,2699,Other plant production and plant primary products,2024-07-10
df0e09d6f25a15a815563df9827f48fa,2701,Aerospace transport,2024-07-10
2e7ceec8361275c4e31fee5fe422740b,2702,Environmentally sustainable transport activities,2024-07-10
220c77af02f8ad8561b150d93000ddff,2703,Ground transport,2024-07-10
81c2f886f91e18fe16d6f4e865877cb6,2704,Water transport,2024-07-10
0d9095b0d6bbe98ea0c9c02b11b59ee3,2799,Other transport,2024-07-10
a3788c8c64fd65c470e23e7534c3ebc8,2801,Expanding knowledge,2024-07-10
